Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16
0.0,-100.75,-100.0,-106.0,-99.5,-70.0,-80.0,-50.0,-90.0,-3.5,-45.75,2.0,-15.0,0.25,-2.0,-0.5,0.5
0.001,-103.0,-101.5,-108.25,-102.25,-65.75,-90.0,-56.5,-95.75,1.0,-41.25,2.75,-13.25,0.25,-9.75,0.0,0.5
0.002,-101.75,-100.0,-83.5,-101.5,-44.25,-58.5,-34.0,-74.0,10.75,-18.0,4.75,-14.5,0.5,-4.0,0.5,1.25
0.003,-96.75,-95.0,-70.75,-96.5,-50.0,-44.25,-30.0,-60.25,12.0,-14.5,5.5,-9.75,0.75,4.0,0.75,2.5
0.004,-76.25,-74.5,-67.5,-78.25,-66.25,-49.5,-43.25,-52.5,10.5,-24.5,7.0,-10.0,1.5,3.75,1.25,3.25
